CONTROL_PROMPT_ID;user_prompt;LLM;intended_steps;steps;summary_flag;completion;correct_functions;correct_params;correct_interpretation;external_error;api_output_correct;comments;database;domain;error;messages;function_fruit_and_veg_offers;used_fruit_and_veg_offers;parameter_date_fruit_and_veg_offers;used_date_fruit_and_veg_offers;function_wine_selection_or_offers;used_wine_selection_or_offers;parameter_date_wine_selection_or_offers;used_date_wine_selection_or_offers;parameter_wine_type;used_wine_type;function_fridge_items;used_fridge_items;parameter_date_fridge_items;used_date_fridge_items;function_date;used_date;function_get_recipe_info;used_get_recipe_info;parameter_recipe_id;used_recipe_id;parameter_instructions;used_instructions;parameter_time;used_time;parameter_ingredients;used_ingredients;parameter_measurements;used_measurements;function_find_recipe;used_find_recipe;parameter_query;used_query;parameter_diet;used_diet;parameter_include_ingredients;used_include_ingredients;parameter_exclude_ingredients;used_exclude_ingredients;parameter_type;used_type;parameter_cuisine;used_cuisine;parameter_exclude_cuisine;used_exclude_cuisine;parameter_max_ready_time;used_max_ready_time;function_dish_pairing_for_wine;used_dish_pairing_for_wine;parameter_grape_name;used_grape_name;function_wine_pairing;used_wine_pairing;parameter_dish_name;used_dish_name;function_image_classification;used_image_classification;parameter_image_url;used_image_url;function_compute_shopping_list;used_compute_shopping_list;parameter_items_list;used_items_list
0;I would like to make a salad. I prefer Greek cuisine. I am intolerant to peanut, soy and gluten . ;gpt-3.5-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;1.0;;;;1.0;;1.0;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;
0;I would like to make a salad. I prefer Greek cuisine. I am intolerant to peanut, soy and gluten . ;gpt-4-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;1.0;;;;1.0;;1.0;;1.0;;;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;
5;Which wine pairs well with a cheese burger?;gpt-3.5-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;
5;Which wine pairs well with a cheese burger?;gpt-4-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;
6;I have a bottle of Shiraz at home. Please suggest a meal that goes well with this wine.;gpt-3.5-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;
6;I have a bottle of Shiraz at home. Please suggest a meal that goes well with this wine.;gpt-4-turbo;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;
8;Based on the image at https://2.bp.blogspot.com/-TtabQoqmHn8/VExgR9YejVI/AAAAAAAAAMk/Ikic-vGdB30/s1600/20141025_221431.jpg, please identify the dish and find a recipe.;gpt-3.5-turbo;2;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;
8;Based on the image at https://2.bp.blogspot.com/-TtabQoqmHn8/VExgR9YejVI/AAAAAAAAAMk/Ikic-vGdB30/s1600/20141025_221431.jpg, please identify the dish and find a recipe.;gpt-4-turbo;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;
9;Using the image athttps://www.tasteforcooking.com/wp-content/uploads/2016/01/ThinkstockPhotos-84465093.jpg, please identify the dish and find a recipe.;gpt-3.5-turbo;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;
9;Using the image athttps://www.tasteforcooking.com/wp-content/uploads/2016/01/ThinkstockPhotos-84465093.jpg, please identify the dish and find a recipe.;gpt-4-turbo;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;;;;;;;;;;;;;;;;;;;;1.0;;1.0;;;;;
