"product_name","price_regular","wine_type","price_offer","offer_from","id","details","grape_variety"
"Vina del Asador Rioja DOCa Rosado","6.99","rose",NULL,NULL,42,"Je 0,75-l-Flasche
Ab 16 Jahren
Aus Spanien",NULL
"ROVERSI Barbera d'Asti DOCG","2.79","red",NULL,NULL,26,"Je 0,75-l-Flasche
Ab 16 Jahren
Barbera, die berühmte ""Lady in Red"", die von den Verbrauchern für ihre Struktur und ihr feines Gleichgewicht aus roten Früchten und Eleganz geschätzt wird","Barbera"
"Württemberg Trollinger mit Lemberger 1","3.99","red",NULL,NULL,9,"Je 1-l-Flasche
Halbtrocken
Ideal zu Geflügel, Nudeln, Gegrilltem und Käse
Fruchtig-rot aus Württemberg
Qualität aus Deutschland
Ab 16 Jahren","Trollinger"
"Kaiserstühler Spätburgunder Baden QbA 1","2.99","red",NULL,NULL,1,"Je 1-l-Flasche
Ab 16 Jahren
In dem sonnenverwöhnten Anbaugebiet Baden wächst er unter idealen Bedingungen.
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: feinherb
Anbaugebiet: Baden
Herkunft: Deutschland
Rebsorte: Spätburgunder
Ideal zu dunklem Fleisch, hellem Fleisch, Käse und Pasta","Spätburgunder"
"FRÄNKISCHES WEINKONTOR Franken Domina QbA","2.79","red",NULL,NULL,20,"Je 0,75-l-Flasche
Die würzigen Aromen umrahmen Grillfleisch auf beste Art und Weise.
Auch zu einem Käsebuffet empfiehlt sich dieser Rotwein sehr.
Weinstil: Rotwein still
Trinktemperatur: 14 - 16 °C
Geschmack: trocken
Anbaugebiet: Franken
Herkunft: Deutschland
Ideal zu dunklem Fleisch und Käse","Domina"
"GRANDE ALBERONE Rosso","2.39","red",NULL,NULL,18,"Je 0,75-l-Flasche
Ab 16 Jahren
Im Eichenfass gereift
Halbtrockener Rotwein
Bekannter Wein aus Italien
Weinstil: Rotwein
Geschmack: halbtrocken
Anbaugebiet: Italien
Rebsorte: Cuvée",NULL
"CAMPO ANTICO Bio-Primitivo IGT","2.49","red","1.79","2024-04-01",21,"Je 0,75-l-Flasche
Ab 16 Jahren
Für diesen vollmundigen und harmonischen Rotwein wurden Primitivo Trauben in Apulien, im äußersten Südosten Italiens, hochreif geerntet.
Alle weinbaulichen Arbeiten zuvor sowie die weitere Verarbeitung im Anschluss an die Ernte erfolgten dabei nach biologisch zertifizierten Maßstäben.
So entsteht hier Hochgenuss auf nachhaltige und ressourcenschonende Weise.
""Genießen mit gutem Gewissen.""","Primitivo"
"2019 HANDWERK QbA","2.99","red","2.49","2024-03-18",3,"Je 0,75-l-Flasche
Ab 16 Jahren","mixed"
"FRANÇOIS NOBLECOUR Bordeaux Supérieur Barrique AOP","2.79","red",NULL,NULL,16,"Je 0,75-l-Flasche
Ab 16 Jahren
Aus der berühmten französischen Weinbauregion Bordeaux, die für eine unglaubliche Vielfalt an hervorragenden Weinen steht
überzeugen Sie sich selbst von der Qualität dieses Bordeaux Supérieur Barrique
Er lagerte mehrere Monate in Eichenholzfässern und entspricht den hohen Qualitätsanforderungen für die Bezeichnung Supérieur. Perfekte Balance aus feiner Holznote und reifer Frucht
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Bordeaux
Herkunft: Frankreich
Rebsorte: Merlot und Cabernet Sauvignon",NULL
"Dornfelder Rheinhessen oder Pfalz QbA","2.49","red","1.79","2024-04-01",24,"Je 0,75-l-Flasche
Ab 16 Jahren
Rotwein
Klare Noten von Kirsche und Brombeere
Passt besonders gut zu Reisgerichten, Braten oder Desserts","Dornfelder"
"LEITZ Pinot Gris","4.99","white","4.49","2024-04-01",76,"Je 0,75-l-Flasche","Pinot Grigio"
"Crémant De Bordeaux Rosé, Brut","4.49","rose",NULL,NULL,30,"Je 0,75-l-Flasche
Ab 16 Jahren
Suchen Sie einen exquisiten Begleiter für besondere Anlässe? Mögen sie den Duft von Himbeeren und Erdbeeren, zart rosé schimmernd im Glas?
Hergestellt nach der aufwendigen Methode traditionelle Flaschengärung steht dieser Crémant aus Bordeaux für prickelnde Eleganz
Verwöhnen Sie sich und Ihre Gäste mit dieser Spezialität
Weinstil: Schaumwein
Trinktemperatur: 6 - 8 °C
Geschmack: brut
Anbaugebiet: Bordeaux
Herkunft: Frankreich
Rebsorte: Cabernet Franc | Merlot",NULL
"ZWEIGELT Cuvée Classic","5.99","red",NULL,NULL,6,"Je 0,75-l-Flasche
Am Gaumen prägen Aromen von Süßkirschen und Pflaumen sowie ein harmonisches Finale den Charakter
Weinstil: Rotwein still
Trinktemperatur: 16 - 18 °C
Geschmack: trocken
Anbaugebiet: Niederösterreich
Herkunft: Österreich
Rebsorte: Zweigelt
Der Wein passt gut zu folgenden Speisen: Dunkles Fleisch, Helles Fleisch, Käse, Pasta",NULL
