"date","vegetables"
"2024-03-04","celery, carrots, zucchini"
"2024-03-05","onions"
"2024-03-06",""
"2024-03-07","carrots, leeks"
"2024-03-08","tomatoes, cabbage, radishes"
"2024-03-09","tomatoes, carrots, asparagus, radishes"
"2024-03-10","bell peppers, beetroot, lettuce, onions"
"2024-03-11","celery, spinach, bell peppers"
"2024-03-12","cabbage, carrots, asparagus, zucchini"
"2024-03-13","potatoes, lettuce, spinach, asparagus"
"2024-03-14",""
"2024-03-15","asparagus, bell peppers"
"2024-03-16","radishes, beetroot"
"2024-03-17","leeks, sweet potatoes"
"2024-03-18","bell peppers, tomatoes, zucchini, leeks"
"2024-03-19",""
"2024-03-20",""
"2024-03-21","leeks, sweet potatoes"
"2024-03-22","zucchini, onions, leeks, sweet potatoes"
"2024-03-23","potatoes, carrots, bell peppers"
"2024-03-24","asparagus, potatoes, onions, spinach"
"2024-03-25","asparagus, zucchini, radishes, celery"
"2024-03-26",""
"2024-03-27","cabbage, leeks, asparagus, zucchini"
"2024-03-28",""
"2024-03-29","spinach"
"2024-03-30","carrots, zucchini"
"2024-03-31","zucchini, celery, beetroot"
"2024-04-01","bell peppers, tomatoes, radishes"
"2024-04-02","lettuce, sweet potatoes, celery"
"2024-04-03","leeks, spinach"
"2024-04-04","potatoes, lettuce, onions"
"2024-04-05","lettuce"
"2024-04-06",""
"2024-04-08","asparagus, carrots, lettuce, ginger"
